time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-22 00:00:00+00:00,828,10,240,113
2024-08-23 00:00:00+00:00,339,7,238,96
2024-08-24 00:00:00+00:00,354,9,94,32
2024-08-25 00:00:00+00:00,9,3,45,23
2024-08-26 00:00:00+00:00,14,3,327,110
2024-08-27 00:00:00+00:00,103,7,267,106
2024-08-28 00:00:00+00:00,628,13,387,126
2024-08-29 00:00:00+00:00,747,13,350,133
2024-08-30 00:00:00+00:00,450,19,272,94
2024-08-31 00:00:00+00:00,278,19,41,25
2024-09-01 00:00:00+00:00,165,12,42,19
2024-09-02 00:00:00+00:00,117,15,301,115
2024-09-03 00:00:00+00:00,360,10,298,122
2024-09-04 00:00:00+00:00,321,9,325,137
