time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-20 00:00:00+00:00,389,10,314,155
2024-09-21 00:00:00+00:00,315,9,56,35
2024-09-22 00:00:00+00:00,85,4,56,31
2024-09-23 00:00:00+00:00,84,3,408,145
2024-09-24 00:00:00+00:00,548,11,447,165
2024-09-25 00:00:00+00:00,578,21,396,144
2024-09-26 00:00:00+00:00,812,13,368,167
2024-09-27 00:00:00+00:00,528,18,330,138
2024-09-28 00:00:00+00:00,325,9,94,43
2024-09-29 00:00:00+00:00,17,5,102,40
2024-09-30 00:00:00+00:00,180,9,319,132
2024-10-01 00:00:00+00:00,332,17,269,126
2024-10-02 00:00:00+00:00,518,7,270,127
2024-10-03 00:00:00+00:00,579,10,226,105
