time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-24 00:00:00+00:00,548,11,447,165
2024-09-25 00:00:00+00:00,578,21,396,144
2024-09-26 00:00:00+00:00,812,13,368,167
2024-09-27 00:00:00+00:00,528,18,330,138
2024-09-28 00:00:00+00:00,325,9,94,43
2024-09-29 00:00:00+00:00,17,5,102,40
2024-09-30 00:00:00+00:00,180,9,319,132
2024-10-01 00:00:00+00:00,332,17,269,126
2024-10-02 00:00:00+00:00,518,7,270,127
2024-10-03 00:00:00+00:00,582,10,242,113
2024-10-04 00:00:00+00:00,381,4,254,112
2024-10-05 00:00:00+00:00,234,6,93,39
2024-10-06 00:00:00+00:00,314,8,66,30
2024-10-07 00:00:00+00:00,614,16,432,148
