time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-02 00:00:00+00:00,117,15,301,115
2024-09-03 00:00:00+00:00,360,10,298,122
2024-09-04 00:00:00+00:00,322,9,349,146
2024-09-05 00:00:00+00:00,490,8,291,134
2024-09-06 00:00:00+00:00,430,6,247,105
2024-09-07 00:00:00+00:00,163,5,56,22
2024-09-08 00:00:00+00:00,89,8,64,31
2024-09-09 00:00:00+00:00,864,10,495,152
2024-09-10 00:00:00+00:00,271,15,455,157
2024-09-11 00:00:00+00:00,349,17,289,137
2024-09-12 00:00:00+00:00,643,8,284,140
2024-09-13 00:00:00+00:00,395,13,211,109
2024-09-14 00:00:00+00:00,399,7,121,31
2024-09-15 00:00:00+00:00,167,6,56,26
