time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-05 00:00:00+00:00,103,7,250,121
2024-08-06 00:00:00+00:00,428,14,251,120
2024-08-07 00:00:00+00:00,410,8,298,118
2024-08-08 00:00:00+00:00,776,13,340,106
2024-08-09 00:00:00+00:00,672,23,275,98
2024-08-10 00:00:00+00:00,433,17,51,32
2024-08-11 00:00:00+00:00,18,5,61,22
2024-08-12 00:00:00+00:00,101,5,248,113
2024-08-13 00:00:00+00:00,381,16,817,122
2024-08-14 00:00:00+00:00,312,10,307,119
2024-08-15 00:00:00+00:00,873,17,259,85
2024-08-16 00:00:00+00:00,537,20,252,113
2024-08-17 00:00:00+00:00,352,5,102,39
2024-08-18 00:00:00+00:00,12,4,156,62
